region_id	probe_id	probe_chr	probe_position	genome_build
PROPGER_DMR_0001	cg05667097	chr6	31691481	hg19
PROPGER_DMR_0001	cg03658690	chr6	31692260	hg19
PROPGER_DMR_0001	cg17772649	chr6	31691426	hg19
PROPGER_DMR_0001	cg14522990	chr6	31691442	hg19
PROPGER_DMR_0001	cg07739478	chr6	31692234	hg19
PROPGER_DMR_0001	cg21506565	chr6	31691506	hg19
PROPGER_DMR_0001	cg22235293	chr6	31691539	hg19
PROPGER_DMR_0001	cg20191740	chr6	31691354	hg19
PROPGER_DMR_0001	cg07014308	chr6	31691597	hg19
PROPGER_DMR_0001	cg00406022	chr6	31691696	hg19
PROPGER_DMR_0001	cg01338864	chr6	31691905	hg19
PROPGER_DMR_0001	cg06928741	chr6	31691430	hg19
PROPGER_DMR_0001	cg16063587	chr6	31691227	hg19
PROPGER_DMR_0001	cg00578039	chr6	31691403	hg19
PROPGER_DMR_0001	cg26114961	chr6	31692295	hg19
PROPGER_DMR_0001	cg18718647	chr6	31691198	hg19
PROPGER_DMR_0001	cg19127747	chr6	31691750	hg19
PROPGER_DMR_0001	cg16746362	chr6	31692375	hg19
PROPGER_DMR_0001	cg17731470	chr6	31692152	hg19
PROPGER_DMR_0001	cg06430424	chr6	31692808	hg19
PROPGER_DMR_0001	cg06132876	chr6	31692080	hg19
PROPGER_DMR_0001	cg07449758	chr6	31692300	hg19
PROPGER_DMR_0001	cg14917589	chr6	31692760	hg19
PROPGER_DMR_0001	cg00718684	chr6	31692026	hg19
PROPGER_DMR_0001	cg18814228	chr6	31692795	hg19
PROPGER_DMR_0001	cg18854144	chr6	31691781	hg19
PROPGER_DMR_0001	cg26749976	chr6	31691717	hg19
PROPGER_DMR_0001	cg23895220	chr6	31691870	hg19
PROPGER_DMR_0001	cg23621689	chr6	31691685	hg19
PROPGER_DMR_0002	cg13303179	chr3	46759335	hg19
PROPGER_DMR_0002	cg02834909	chr3	46759438	hg19
PROPGER_DMR_0002	cg00817731	chr3	46759475	hg19
PROPGER_DMR_0002	cg01788113	chr3	46759472	hg19
PROPGER_DMR_0002	cg19875656	chr3	46759096	hg19
PROPGER_DMR_0002	cg17460445	chr3	46759588	hg19
PROPGER_DMR_0002	cg01967580	chr3	46759656	hg19
PROPGER_DMR_0002	cg04360233	chr3	46758813	hg19
PROPGER_DMR_0002	cg17977862	chr3	46760272	hg19
PROPGER_DMR_0002	cg19668234	chr3	46759449	hg19
PROPGER_DMR_0002	cg19101554	chr3	46759977	hg19
PROPGER_DMR_0003	cg03772909	chr3	138725311	hg19
PROPGER_DMR_0003	cg21946496	chr3	138724616	hg19
PROPGER_DMR_0003	cg07452777	chr3	138725214	hg19
PROPGER_DMR_0003	cg02806645	chr3	138725153	hg19
PROPGER_DMR_0003	cg21098437	chr3	138725199	hg19
PROPGER_DMR_0003	cg11801317	chr3	138724631	hg19
PROPGER_DMR_0003	cg24872425	chr3	138725335	hg19
